COUNTY_ID,DIST_ID,COUNTY_NAME,DISTRICT_NAME,2010_11_TOTAL,2011_12_TOTAL,2012_13_TOTAL,2013_14_TOTAL,2014_15_TOTAL,2015_16_TOTAL,DIFFERENCE
27,2870,MORRIS,MADISON BORO,2371,2402.5,2396.5,2506.5,2529.5,2566.5,195.5
80,6030,CHARTERS,The Ethical Community Charter School,147,199,240,276,307,343,196
80,6036,CHARTERS,HOLA Hoboken Dual Lang CS,129,159,208,246,291,326,197
21,5510,MERCER,ROBBINSVILLE TWP,2785,2854,2860.5,2949,2952,2986.5,201.5
80,6090,CHARTERS,Paulo Freire Charter School,,,61,125,197,269,208
5,830,BURLINGTON,CHESTERFIELD TWP,548,575,640,689,728,758,210
11,540,CUMBERLAND,BRIDGETON CITY,5534.5,4982,5703,5510.5,5683.5,5747,212.5
7,1900,CAMDEN,HADDONFIELD BORO,2445,2488,2482,2549,2593,2660,215
7,1801,CAMDEN,"Camden Prep, Inc.",,,,,70,285,215
80,6093,CHARTERS,Jersey City Global CS,,,,103,233,319,216
3,1345,BERGEN,ELMWOOD PARK,2308,2480,2487,2521,2417.5,2525,217
39,5000,UNION,SPRINGFIELD TWP,2053,2172,2225,2303.5,2283,2270,217
27,3365,MORRIS,MORRIS COUNTY VOCATIONAL,777,876,858,928.5,998,1005.5,228.5
3,1370,BERGEN,ENGLEWOOD CITY,2864.5,2911.5,3003,3026.5,3092,3102,237.5
80,6041,CHARTERS,Hatikvah International CS,96,146,110,263,298,336,240
3,2710,BERGEN,LITTLE FERRY BORO,734,980,993,1001,980,975,241
19,2308,HUNTERDON,HUNTERDON CO VOCATIONAL,1,196.5,189.5,236.5,249.5,244.5,243.5
27,1110,MORRIS,DOVER TOWN,2967.5,2974.5,3031,3066.5,3185,3214,246.5
80,6032,CHARTERS,Academy for Urban Leadership Charter School,,138,298,398,386,393,255
3,4380,BERGEN,RIDGEFIELD PARK TWP,2121,2247,2318,2318,2348.5,2380,259
